Acronym,Direction
abr,1
absacc,-1
acc,-1
adm,1
age,-1
agr,-1
alm,-1
ato,1
baspread,1
beta,1
bm,1
bm_ia,1
cash,1
cashdebt,1
cashpr,-1
cfp,1
cfp_ia,1
chatoia,1
chcsho,-1
chempia,-1
chinv,-1
chmom,1
chpmia,1
chtx,1
cinvest,-1
convind,-1
currat,1
depr,1
divi,1
divo,-1
dolvol,-1
egr,-1
ep,1
gma,1
grcapx,-1
grltnoa,1
herf,1
hire,-1
ill,1
indmom,1
invest,-1
lev,1
lgr,-1
maxret,-1
me,-1
me_ia,-1
mom12m,1
mom1m,-1
mom36m,-1
mom60m,-1
mom6m,1
ni,-1
nincr,1
noa,-1
op,1
pchcapx_ia,-1
pchcurrat,1
pchdepr,1
pchgm_pchsale,1
pchquick,1
pchsale_pchinvt,1
pchsale_pchrect,1
pchsale_pchxsga,1
pchsaleinv,1
pctacc,-1
pm,1
pscore,1
quick,1
rd,1
rd_sale,1
rdm,1
re,1
realestate,1
rna,1
roa,1
roavol,-1
roe,1
roic,1
rsup,1
rvar_capm,-1
rvar_ff3,-1
rvar_mean,-1
salecash,1
saleinv,1
salerec,1
seas1a,1
secured,1
securedind,1
sgr,-1
sin,1
sp,1
std_dolvol,-1
std_turn,-1
sue,1
tang,1
tb,1
turn,-1
zerotrade,1
